|voice-bridge  | 2026-03-05T03:46:32.320Z [INFO ] [BRIDGE:ESL] 🔍 [CHANNEL_ANSWER DEBUG] uuid=fcba6f8c-2128-4c50-a64d-204b471c9005 otherLeg= direction=inbound dest=9999 caller=1004 isOutbound=false
6|voice-bridge  | 2026-03-05T03:46:33.046Z [INFO ] [BRIDGE:ESL] 🅿️  Call parked type=INBOUND uuid=fcba6f8c-2128-4c50-a64d-204b471c9005 callerIdNumber=1004 calledNumber=9999
6|voice-bridge  | 2026-03-05T03:46:33.046Z [INFO ] [BRIDGE:ESL] ⏱️ [ESL-TIMING] CHANNEL_PARK at 1772682393046 uuid=fcba6f8c-2128-4c50-a64d-204b471c9005
6|voice-bridge  | 2026-03-05T03:46:33.046Z [INFO ] [BRIDGE:SERVER] 📝 Setting expected call: callId=fcba6f8c-2128-4c50-a64d-204b471c9005, uuid=fcba6f8c-2128-4c50-a64d-204b471c9005
6|voice-bridge  | 2026-03-05T03:46:33.046Z [INFO ] [BRIDGE:SERVER] ✅ Pending calls count: 1
6|voice-bridge  | 2026-03-05T03:46:33.046Z [INFO ] [BRIDGE:ESL] 📞 INBOUND call parked — uuid=fcba6f8c-2128-4c50-a64d-204b471c9005
6|voice-bridge  | 2026-03-05T03:46:33.046Z [INFO ] [BRIDGE:ESL] ⏱️ [ESL-TIMING] Executing uuid_audio_stream after 0ms uuid=fcba6f8c-2128-4c50-a64d-204b471c9005
6|voice-bridge  | 2026-03-05T03:46:33.095Z [INFO ] [BRIDGE:SERVER] New WebSocket connection clientIp=72.62.50.40
6|voice-bridge  | 2026-03-05T03:46:33.095Z [INFO ] [BRIDGE:SERVER] 🔍 WEBSOCKET CONNECTION path=/stream/fcba6f8c-2128-4c50-a64d-204b471c9005 uuidFromUrl=fcba6f8c-2128-4c50-a64d-204b471c9005 pendingCallsCount=1 pendingIds=[{"uuid":"fcba6f8c-2128-4c50-a64d-204b471c9005","callId":"fcba6f8c-2128-4c50-a64d-204b471c9005"}] timestamp=1772682393095
6|voice-bridge  | 2026-03-05T03:46:33.095Z [INFO ] [BRIDGE:SERVER] ✅ Consumed pending call: callId=fcba6f8c-2128-4c50-a64d-204b471c9005, uuid=fcba6f8c-2128-4c50-a64d-204b471c9005
6|voice-bridge  | 2026-03-05T03:46:33.095Z [INFO ] [BRIDGE:SERVER] 📞 INBOUND call matched: callId=fcba6f8c-2128-4c50-a64d-204b471c9005 (same as uuid)
6|voice-bridge  | 2026-03-05T03:46:33.095Z [INFO ] [BRIDGE:SERVER] ⏱️ [VPS-TIMING] CHANNEL_PARK → WebSocket connection: 49ms (FreeSWITCH audio_stream setup + WS open) callId=fcba6f8c-2128-4c50-a64d-204b471c9005
6|voice-bridge  | 2026-03-05T03:46:33.095Z [INFO ] [BRIDGE:SERVER] 📞 Call detected: ID=fcba6f8c-2128-4c50-a64d-204b471c9005 | CallerId=1004 | CallerName=Alessio
6|voice-bridge  | 2026-03-05T03:46:33.110Z [INFO ] [BRIDGE:ESL] ✅ Audio stream started in 64ms (total: 64ms) uuid=fcba6f8c-2128-4c50-a64d-204b471c9005
