order_id,document_id,customer_id,order_date,revenue_amount,causale,turnovendita,staff,bancovendita,numcoperti,cost,costoproduzione_foodbev,costoproduzione_materiali,costoproduzione_extra,costoproduzione_personale,costoproduzione_struttura,costoproduzione_consumi
237219,BS1,,150102,34,951,1,,0,,"3,4","1,7","0,68","1,02","5,1","1,7","3,4"
237221,BS3,,150102,30,951,1,11,23,,3,"1,5","0,6","0,9","4,5","1,5",3
237224,RE1,,150102,-16,941,1,,0,,"-1,6","-0,8","-0,32","-0,48","-2,4","-0,8","-1,6"
237226,BS2,,150102,12,951,1,,0,,"1,2","0,6","0,24","0,36","1,8","0,6","1,2"
237229,BS5,,150102,20,951,1,11,27,,2,1,"0,4","0,6",3,1,2
237231,BS7,,150102,25,951,1,6,2,,"2,5","1,25","0,5","0,75","3,75","1,25","2,5"
237233,BS4,,150102,28,951,1,208,16,,"2,8","1,4","0,56","0,84","4,2","1,4","2,8"
237239,BF0,244,150102,"25,5",953,1,,0,,"2,55","1,275","0,51","0,765","3,825","1,275","2,55"
237242,BS6,,150102,"31,5",951,1,11,25,,"3,15","1,575","0,63","0,945","4,725","1,575","3,15"
237250,BS11,,150102,"71,5",951,1,6,4,,"7,15","3,575","1,43","2,145","10,725","3,575","7,15"
237254,BF1,15,150102,"37,5",953,1,208,13,,"3,75","1,875","0,75","1,125","5,625","1,875","3,75"
237256,BS18,,150102,24,951,1,11,23,,"2,4","1,2","0,48","0,72","3,6","1,2","2,4"
237258,BS9,,150102,68,951,1,208,11,,"6,8","3,4","1,36","2,04","10,2","3,4","6,8"
237260,BS8,,150102,40,951,1,11,22,,4,2,"0,8","1,2",6,2,4
237263,RE2,,150102,-31,941,1,,0,,"-3,1","-1,55","-0,62","-0,93","-4,65","-1,55","-3,1"
237283,BS17,,150102,55,951,1,6,6,,"5,5","2,75","1,1","1,65","8,25","2,75","5,5"
237287,BS14,,150102,70,951,1,11,16,,7,"3,5","1,4","2,1","10,5","3,5",7
237289,BS13,,150102,44,951,1,11,27,,"4,4","2,2","0,88","1,32","6,6","2,2","4,4"
237302,BS12,,150102,80,951,1,11,24,,8,4,"1,6","2,4",12,4,8
237325,BS16,,150102,40,951,1,11,25,,4,2,"0,8","1,2",6,2,4
237329,BS15,,150102,44,951,1,208,13,,"4,4","2,2","0,88","1,32","6,6","2,2","4,4"
237342,BS10,,150102,12,951,1,,0,,"1,2","0,6","0,24","0,36","1,8","0,6","1,2"
237418,RE3,,150103,"-11,5",941,1,,0,,"-1,15","-0,575","-0,23","-0,345","-1,725","-0,575","-1,15"
